2025-12-17 14:39:48,369 | INFO     | whatspy.database | ✅ Database connection successful
2025-12-17 15:07:33,481 | INFO     | whatspy | ================================================================================
2025-12-17 15:07:33,481 | INFO     | whatspy | 🚀 Application starting - Logging to console and logs/debug.log
2025-12-17 15:07:33,481 | INFO     | whatspy | ================================================================================
2025-12-17 15:07:42,838 | INFO     | whatspy.database | ✅ Database tables initialized
2025-12-17 15:07:43,909 | INFO     | whatspy.database | ✅ Database connection successful
2025-12-17 15:07:43,910 | INFO     | whatspy | ✅ Database initialized
2025-12-17 15:07:44,391 | WARNING  | pywa.server | No `app_secret` provided. Signature validation will be disabled (not recommended. set `validate_updates=False` to suppress this warning)
2025-12-17 15:07:44,391 | INFO     | pywa.server | Using FastAPI
2025-12-17 15:07:44,401 | INFO     | whatspy.handlers | ✅ WhatsApp message handlers registered
2025-12-17 15:07:44,401 | INFO     | whatspy.handlers | 🏢 Using tenant_id from .env: d2bcd1ee-e5c5-4c9f-bff2-aaf901d40440
2025-12-17 15:07:44,401 | INFO     | whatspy.handlers | 📝 All incoming messages will be saved to this tenant
2025-12-17 15:07:44,401 | INFO     | whatspy | ✅ WhatsApp client initialized
